🕘️更新时间,#genre#
2026-03-20 18:24:24,http://198.18.0.1:8080/hls/-8537644458608643520.m3u8

📺央视频道,#genre#
CCTV-1,http://198.18.0.1:8080/hls/-8537644458608643520.m3u8
CCTV-1,http://198.18.0.1:8080/hls/5550328117383464476.m3u8
CCTV-1,http://198.18.0.1:8080/hls/-1584285277928766826.m3u8
CCTV-1,http://198.18.0.1:8080/hls/-5580795156942584401.m3u8
CCTV-2,http://198.18.0.1:8080/hls/3190523978434430956.m3u8
CCTV-2,http://198.18.0.1:8080/hls/-1561597096777671349.m3u8
CCTV-2,http://198.18.0.1:8080/hls/2519937888187485848.m3u8
CCTV-2,http://198.18.0.1:8080/hls/6322044303853629959.m3u8
CCTV-2,http://198.18.0.1:8080/hls/2490390023381440766.m3u8
CCTV-3,http://198.18.0.1:8080/hls/-2238002587644354859.m3u8
CCTV-3,http://198.18.0.1:8080/hls/-1109872969459604152.m3u8
CCTV-3,http://198.18.0.1:8080/hls/-3783885640946867486.m3u8
CCTV-3,http://198.18.0.1:8080/hls/7699145513695065502.m3u8
CCTV-3,http://198.18.0.1:8080/hls/340746300965869508.m3u8
CCTV-4,http://198.18.0.1:8080/hls/-7868699714794194865.m3u8
CCTV-4,http://198.18.0.1:8080/hls/2013886781794886582.m3u8
CCTV-4,http://198.18.0.1:8080/hls/-8839872349728462853.m3u8
CCTV-4,http://198.18.0.1:8080/hls/-3625707359445643074.m3u8
CCTV-4,http://198.18.0.1:8080/hls/6140217524296372141.m3u8
CCTV-5,http://198.18.0.1:8080/hls/6776706448974306564.m3u8
CCTV-5,http://198.18.0.1:8080/hls/2585415469098082703.m3u8
CCTV-5,http://198.18.0.1:8080/hls/3522489796101598436.m3u8
CCTV-5,http://198.18.0.1:8080/hls/801411223687041395.m3u8
CCTV-5+,http://198.18.0.1:8080/hls/-391220379848044585.m3u8
CCTV-5+,http://198.18.0.1:8080/hls/1942087373354080863.m3u8
CCTV-5+,http://198.18.0.1:8080/hls/2974057738584661311.m3u8
CCTV-6,http://198.18.0.1:8080/hls/-367405082312563629.m3u8
CCTV-6,http://198.18.0.1:8080/hls/-6390443007096807028.m3u8
CCTV-6,http://198.18.0.1:8080/hls/5201329560338560541.m3u8
CCTV-6,http://198.18.0.1:8080/hls/-8533215223093170618.m3u8
CCTV-7,http://198.18.0.1:8080/hls/2162391804293161398.m3u8
CCTV-7,http://198.18.0.1:8080/hls/6371922914206954073.m3u8
CCTV-7,http://198.18.0.1:8080/hls/6234266880340086584.m3u8
CCTV-7,http://198.18.0.1:8080/hls/-1710573408214108947.m3u8
CCTV-7,http://198.18.0.1:8080/hls/3481304536752730096.m3u8
CCTV-8,http://198.18.0.1:8080/hls/2412525355042582183.m3u8
CCTV-8,http://198.18.0.1:8080/hls/-4093112215019353957.m3u8
CCTV-8,http://198.18.0.1:8080/hls/5061191997516595714.m3u8
CCTV-8,http://198.18.0.1:8080/hls/-7570256601551731760.m3u8
CCTV-8,http://198.18.0.1:8080/hls/3326783168289444049.m3u8
CCTV-9,http://198.18.0.1:8080/hls/-552531151810814910.m3u8
CCTV-9,http://198.18.0.1:8080/hls/5553250487633185450.m3u8
CCTV-9,http://198.18.0.1:8080/hls/5540056261246529395.m3u8
CCTV-9,http://198.18.0.1:8080/hls/7113273790205755061.m3u8
CCTV-9,http://198.18.0.1:8080/hls/-7473244132653279176.m3u8
CCTV-10,http://198.18.0.1:8080/hls/-925980991443762724.m3u8
CCTV-10,http://198.18.0.1:8080/hls/2580619179327144772.m3u8
CCTV-10,http://198.18.0.1:8080/hls/4975899626605824104.m3u8
CCTV-10,http://198.18.0.1:8080/hls/-4106376436562551089.m3u8
CCTV-10,http://198.18.0.1:8080/hls/-8704781097137199140.m3u8
CCTV-11,http://198.18.0.1:8080/hls/1848373904847123915.m3u8
CCTV-11,http://198.18.0.1:8080/hls/5864762802044858084.m3u8
CCTV-11,http://198.18.0.1:8080/hls/4818118130400737526.m3u8
CCTV-11,http://198.18.0.1:8080/hls/2966795585573640177.m3u8
CCTV-11,http://198.18.0.1:8080/hls/-7571599411017473314.m3u8
CCTV-12,http://198.18.0.1:8080/hls/124706813459482111.m3u8
CCTV-12,http://198.18.0.1:8080/hls/-6086633644789428743.m3u8
CCTV-12,http://198.18.0.1:8080/hls/-6349820843292068248.m3u8
CCTV-12,http://198.18.0.1:8080/hls/-1539976480183533860.m3u8
CCTV-12,http://198.18.0.1:8080/hls/-2941063282164299784.m3u8
CCTV-13,http://198.18.0.1:8080/hls/1126785738926491521.m3u8
CCTV-13,http://198.18.0.1:8080/hls/3429947721273400483.m3u8
CCTV-13,http://198.18.0.1:8080/hls/-3520483496129531436.m3u8
CCTV-13,http://198.18.0.1:8080/hls/4337602407190916176.m3u8
CCTV-13,http://198.18.0.1:8080/hls/4900868626020997643.m3u8
CCTV-14,http://198.18.0.1:8080/hls/-3318136327078674739.m3u8
CCTV-14,http://198.18.0.1:8080/hls/-1780487393883608203.m3u8
CCTV-14,http://198.18.0.1:8080/hls/-1926471993093012150.m3u8
CCTV-14,http://198.18.0.1:8080/hls/4767695626216091973.m3u8
CCTV-14,http://198.18.0.1:8080/hls/1145168545336564234.m3u8
CCTV-15,http://198.18.0.1:8080/hls/-808623981480850026.m3u8
CCTV-15,http://198.18.0.1:8080/hls/915671870796095721.m3u8
CCTV-15,http://198.18.0.1:8080/hls/6712761168510554199.m3u8
CCTV-15,http://198.18.0.1:8080/hls/8252175078612474583.m3u8
CCTV-16,http://198.18.0.1:8080/hls/-3287297836529230903.m3u8
CCTV-16,http://198.18.0.1:8080/hls/-5394909414061989946.m3u8
CCTV-16,http://198.18.0.1:8080/hls/1391973778419698857.m3u8
CCTV-16,http://198.18.0.1:8080/hls/-5203949523610161443.m3u8
CCTV-16,http://198.18.0.1:8080/hls/6138870551618507614.m3u8
CCTV-17,http://198.18.0.1:8080/hls/4027391024731600715.m3u8
CCTV-17,http://198.18.0.1:8080/hls/7687383033952166167.m3u8
CCTV-17,http://198.18.0.1:8080/hls/3154469820248518353.m3u8
CCTV-17,http://198.18.0.1:8080/hls/853153889466664321.m3u8
CCTV-17,http://198.18.0.1:8080/hls/6806448051178616420.m3u8
CETV-1,http://198.18.0.1:8080/hls/-5599971682932166742.m3u8
CETV-2,http://198.18.0.1:8080/hls/-1238167760440425145.m3u8
CETV-3,http://198.18.0.1:8080/hls/3111580858148843691.m3u8
CETV-4,http://198.18.0.1:8080/hls/5019712441077327002.m3u8

📡卫视频道,#genre#
广东卫视,http://198.18.0.1:8080/hls/4409075427481192753.m3u8
广东卫视,http://198.18.0.1:8080/hls/-9012890466357085532.m3u8
广东卫视,http://198.18.0.1:8080/hls/-4037932728080665491.m3u8
广东卫视,http://198.18.0.1:8080/hls/8688538824367545726.m3u8
广东卫视,http://198.18.0.1:8080/hls/-4920605875480640919.m3u8
香港卫视,http://198.18.0.1:8080/hls/-3129558951161384845.m3u8
浙江卫视,http://198.18.0.1:8080/hls/1784037027637435806.m3u8
