🕘️更新时间,#genre#
2026-03-20 18:24:24,http://198.18.0.1:8080/hls/-5580795156942584401.m3u8

📺央视频道,#genre#
CCTV-1,http://198.18.0.1:8080/hls/-5580795156942584401.m3u8
CCTV-2,http://198.18.0.1:8080/hls/2088159687596292154.m3u8
CCTV-3,http://198.18.0.1:8080/hls/6077251696881505189.m3u8
CCTV-4,http://198.18.0.1:8080/hls/2622056638021725829.m3u8
CCTV-5,http://198.18.0.1:8080/hls/801411223687041395.m3u8
CCTV-5+,http://198.18.0.1:8080/hls/2974057738584661311.m3u8
CCTV-6,http://198.18.0.1:8080/hls/-8533215223093170618.m3u8
CCTV-7,http://198.18.0.1:8080/hls/3481304536752730096.m3u8
CCTV-8,http://198.18.0.1:8080/hls/3326783168289444049.m3u8
CCTV-9,http://198.18.0.1:8080/hls/8914741677165238336.m3u8
CCTV-10,http://198.18.0.1:8080/hls/-9128578670976279201.m3u8
CCTV-11,http://198.18.0.1:8080/hls/-7571599411017473314.m3u8
CCTV-12,http://198.18.0.1:8080/hls/-5269379742775232914.m3u8
CCTV-13,http://198.18.0.1:8080/hls/4379601835707481578.m3u8
CCTV-14,http://198.18.0.1:8080/hls/2380323017032061467.m3u8
CCTV-15,http://198.18.0.1:8080/hls/8252175078612474583.m3u8
CCTV-16,http://198.18.0.1:8080/hls/3318357513406783506.m3u8
CCTV-17,http://198.18.0.1:8080/hls/6806448051178616420.m3u8
CETV-1,http://198.18.0.1:8080/hls/-5599971682932166742.m3u8
CETV-2,http://198.18.0.1:8080/hls/-1238167760440425145.m3u8
CETV-3,http://198.18.0.1:8080/hls/3111580858148843691.m3u8
CETV-4,http://198.18.0.1:8080/hls/5019712441077327002.m3u8

📡卫视频道,#genre#
广东卫视,http://198.18.0.1:8080/hls/-4920605875480640919.m3u8
浙江卫视,http://198.18.0.1:8080/hls/-9076630464488651221.m3u8
湖南卫视,http://198.18.0.1:8080/hls/-8681419920683870733.m3u8
北京卫视,http://198.18.0.1:8080/hls/7901147651806523036.m3u8
湖北卫视,http://198.18.0.1:8080/hls/-5588998858954810797.m3u8
黑龙江卫视,http://198.18.0.1:8080/hls/-5745237718176843602.m3u8
安徽卫视,http://198.18.0.1:8080/hls/-5690545183924953146.m3u8
重庆卫视,http://198.18.0.1:8080/hls/7922066614640743996.m3u8
东方卫视,http://198.18.0.1:8080/hls/7506095420272007252.m3u8
东南卫视,http://198.18.0.1:8080/hls/-2197951789753584817.m3u8
甘肃卫视,http://198.18.0.1:8080/hls/4047592640309043366.m3u8
广西卫视,http://198.18.0.1:8080/hls/2639381829151112464.m3u8
贵州卫视,http://198.18.0.1:8080/hls/7672774484348050096.m3u8
海南卫视,http://198.18.0.1:8080/hls/7844923401920782253.m3u8
河北卫视,http://198.18.0.1:8080/hls/8066570472750483772.m3u8
吉林卫视,http://198.18.0.1:8080/hls/-4803316723063575560.m3u8
江苏卫视,http://198.18.0.1:8080/hls/-5371964170597402042.m3u8
江西卫视,http://198.18.0.1:8080/hls/4366151163698145243.m3u8
辽宁卫视,http://198.18.0.1:8080/hls/1572648217184267953.m3u8
内蒙古卫视,http://198.18.0.1:8080/hls/93181481697879550.m3u8
宁夏卫视,http://198.18.0.1:8080/hls/2412200228061307903.m3u8
青海卫视,http://198.18.0.1:8080/hls/-7642918887184646110.m3u8
山东卫视,http://198.18.0.1:8080/hls/8207666638031054050.m3u8
山西卫视,http://198.18.0.1:8080/hls/4343636596345931875.m3u8
陕西卫视,http://198.18.0.1:8080/hls/-2755686827590231787.m3u8
四川卫视,http://198.18.0.1:8080/hls/2842371365797675586.m3u8
深圳卫视,http://198.18.0.1:8080/hls/-8626646312724683925.m3u8
天津卫视,http://198.18.0.1:8080/hls/-7702137145999031422.m3u8
西藏卫视,http://198.18.0.1:8080/hls/-5640145378701237146.m3u8
新疆卫视,http://198.18.0.1:8080/hls/-5698151183507800601.m3u8
云南卫视,http://198.18.0.1:8080/hls/7999562423103084046.m3u8

☘️广东频道,#genre#
广东卫视,http://198.18.0.1:8080/hls/-4920605875480640919.m3u8
深圳卫视,http://198.18.0.1:8080/hls/-8626646312724683925.m3u8

♻️未匹配频道,#genre#
延边卫视,http://198.18.0.1:8080/hls/942642718713685301.m3u8
康巴卫视,http://198.18.0.1:8080/hls/4378712289554975466.m3u8
