分类: 📌我的常看, 名称: 浙江卫视, 有效: 1, IPv4: 0, IPv6: 1, 最小延迟: 253 ms, 最高速率: 15.44 M/s, 平均速率: 15.44 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📌我的常看, 名称: CCTV-6, 有效: 0, IPv4: 0, IPv6: 1, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视精选, 名称: 江苏卫视, 有效: 0, IPv4: 0, IPv6: 1, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📌我的常看, 名称: CCTV-1, 有效: 0, IPv4: 0, IPv6: 2, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视精选, 名称: CGTN, 有效: 1, IPv4: 0, IPv6: 1, 最小延迟: 745 ms, 最高速率: 5.21 M/s, 平均速率: 5.21 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视精选, 名称: CCTV-16, 有效: 0, IPv4: 0, IPv6: 1, 最小延迟: 1360 ms, 最高速率: 0.47 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视精选, 名称: CCTV-2, 有效: 1, IPv4: 0, IPv6: 1, 最小延迟: 1567 ms, 最高速率: 0.28 M/s, 平均速率: 0.28 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: hevc, 音频编解码器: aac
分类: 📡卫视精选, 名称: 河南卫视, 有效: 1, IPv4: 0, IPv6: 1, 最小延迟: 187 ms, 最高速率: 6.03 M/s, 平均速率: 6.03 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🏙️地方频道, 名称: 海南广播电视总台社会与法频道, 有效: 0, IPv4: 0, IPv6: 1, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视精选, 名称: 东南卫视, 有效: 0, IPv4: 0, IPv6: 1, 最小延迟: 2820 ms, 最高速率: 0.50 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视精选, 名称: 黑龙江卫视, 有效: 0, IPv4: 0, IPv6: 1, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📌我的常看, 名称: CCTV-13, 有效: 1, IPv4: 0, IPv6: 2, 最小延迟: 2569 ms, 最高速率: 0.65 M/s, 平均速率: 0.65 M/s, 最高分辨率: 1080x1920, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视精选, 名称: 西藏卫视, 有效: 0, IPv4: 0, IPv6: 1, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视精选, 名称: 河北卫视, 有效: 0, IPv4: 0, IPv6: 2, 最小延迟: 1036 ms, 最高速率: 0.35 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视精选, 名称: CCTV-11, 有效: 0, IPv4: 0, IPv6: 1, 最小延迟: 3582 ms, 最高速率: 2.08 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视精选, 名称: 广西卫视, 有效: 1, IPv4: 0, IPv6: 2, 最小延迟: 1288 ms, 最高速率: 1.65 M/s, 平均速率: 1.65 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
